"","quad","year","trackID","Group","Grazing","area.t0","logsize","survives","area.t1"
"1","q21",34,1,"lb1","No",14.6902,2.68718060479699,1,5.534248
"2","q21",34,2,"lb1","No",16.01071,2.77325787330826,1,4.173208
"3","q21",34,3,"lb1","No",12.45103,2.5218033504124,1,10.16256
"4","q21",34,4,"lb1","No",7.882548,2.06465120185717,1,4.537056
"5","q21",34,5,"lb1","No",9.641958,2.26612420003119,1,0.8231974
"6","q21",34,7,NA,NA,NA,NA,1,NA
"7","q21",34,8,"lb1","No",11.9542,2.48108268106351,1,10.33697
"8","q21",34,9,NA,NA,NA,NA,0,NA
"9","q21",34,10,"lb1","No",11.55476,2.4470974732813,1,6.277264
"10","q21",34,11,"lb1","No",7.829639,2.05791640421444,1,5.0752393
"11","q21",34,12,"lb1","No",4.889467,1.58708329959106,1,2.724332
"12","q21",34,13,"lb1","No",3.649335,1.29454495921464,1,2.630796
"13","q21",34,14,"lb1","No",6.914634,1.93364003529948,1,7.770956
"14","q21",34,15,NA,NA,NA,NA,0,NA
"15","q21",34,16,"lb1","No",17.98973,2.88980103951185,1,1.330413
"16","q21",35,17,"lb1","No",5.980866,1.78856537353122,1,23.748045
"17","q21",35,18,NA,NA,NA,NA,0,NA
"18","q21",35,2,"lb1","No",4.173208,1.42868504460399,1,20.465558
"19","q21",35,1,"lb1","No",5.534248,1.71095569423847,1,36.52691
"20","q21",35,3,"lb1","No",10.16256,2.31871037891554,1,30.333686
"21","q21",35,19,"lb1","No",4.926821,1.59469395247767,1,20.75421
"22","q21",35,4,"lb1","No",4.537056,1.51227834356355,1,34.521242
"23","q21",35,20,"lb1","No",4.141117,1.42096555820921,1,14.799495
"24","q21",35,21,"lb1","No",1.065136,0.063102490539014,1,4.208573
"25","q21",35,22,NA,NA,NA,NA,0,NA
"26","q21",35,5,"lb1","No",0.8231974,-0.194559252873505,1,2.840979
"27","q21",35,8,"lb1","No",10.33697,2.33572678938614,1,21.22274
"28","q21",35,23,"lb1","No",2.604328,0.957174676475464,1,5.714893
"29","q21",35,10,NA,NA,NA,NA,0,NA
"30","q21",35,10,"lb1","No",6.277264,1.83693421675908,1,24.03011
"31","q21",35,24,NA,NA,NA,NA,0,NA
"32","q21",35,25,NA,NA,NA,NA,0,NA
"33","q21",35,11,"lb1","No",5.0752393,1.62437367652556,1,27.305691
"34","q21",35,26,"lb1","No",3.308992,1.19664361128772,1,16.45917
"35","q21",35,11,NA,NA,NA,NA,1,NA
"36","q21",35,12,"lb1","No",2.724332,1.00222326044939,1,5.896266
"37","q21",35,13,NA,NA,NA,NA,0,NA
"38","q21",35,14,NA,NA,NA,NA,1,NA
"39","q21",35,14,"lb1","No",7.770956,2.05039319413412,1,33.48819
"40","q21",35,16,"lb1","No",1.330413,0.285489420346134,1,10.798627
"41","q21",35,27,NA,NA,NA,NA,0,NA
"42","q21",35,28,"lb1","No",2.187092,0.782572807567966,1,11.888969
"43","q21",35,29,"lb1","No",0.8038312,-0.218365982094566,1,2.595872
"44","q21",35,30,"lb1","No",1.869343,0.625587032234832,1,5.492909
"45","q21",36,17,"lb1","No",23.748045,3.16750021130305,1,31.84439
"46","q21",36,1,"lb1","No",36.52691,3.59804924921957,1,91.783875
"47","q21",36,2,"lb1","No",20.465558,3.01874337563667,1,67.009461
"48","q21",36,2,NA,NA,NA,NA,1,NA
"49","q21",36,1,NA,NA,NA,NA,0,NA
"50","q21",36,17,NA,NA,NA,NA,0,NA
"51","q21",36,2,NA,NA,NA,NA,0,NA
"52","q21",36,17,NA,NA,NA,NA,0,NA
"53","q21",36,31,NA,NA,NA,NA,1,NA
