"population","state","north_bounding_coordinate","south_bounding_coordinate","east_bounding_coordinate","west_bounding_coordinate","elevation"
1,"IN",39.976111,39.749167,-87.020833,-87.313333,201
2,"IN",39.9875,39.763056,-87.344444,-87.635278,185
3,"KY",37.604722,37.379167,-84.761667,-85.045556,304
4,"KY",37.399444,37.1725,-87.789444,-88.072222,150
5,"KY",37.6775,37.451111,-83.686667,-83.971111,277
6,"KY",37.939167,37.713333,-84.591111,-84.875833,252
7,"KY",37.036944,36.81,-87.874167,-88.155556,121
8,"KY",36.957222,36.731111,-87.795,-88.076111,152
9,"MD",39.654722,39.428611,-79.073611,-79.365278,565
10,"NY",42.635556,42.408333,-74.101944,-74.407222,469
11,"NY",42.769722,42.544167,-73.923333,-74.227222,425
12,"PA",40.276667,40.050556,-76.018333,-76.310833,224
13,"PA",40.148611,39.922222,-77.555556,-77.847222,243
14,"VA",37.044722,36.819167,-82.598889,-82.877778,663
15,"VA",38.486111,38.260556,-79.45,-79.735556,1068
16,"VA",37.564722,37.34,-79.4425,-79.725,763
17,"VA",37.224444,36.998611,-80.525,-80.804444,611
18,"VA",37.159167,36.918056,-81.003611,-81.285833,908
19,"WV",37.566389,37.338611,-80.901389,-81.185833,764
20,"WV",39.276389,39.051111,-79.658611,-79.949167,752
21,"WV",39.106944,38.879722,-79.500278,-79.788333,756
22,"WV",38.653889,38.428611,-80.725,-81.013889,360
23,"WV",39.106944,38.879722,-79.500278,-79.788333,650
24,"WV",37.875,37.649167,-80.155278,-80.44,599
25,"WV",38.625556,38.399167,-81.306389,-81.594444,287
26,"WV",39.716389,39.490833,-79.661944,-79.954167,471
27,"WV",39.716389,39.490833,-79.661944,-79.954167,511
28,"WV",39.686944,39.461389,-80.0125,-80.303611,344
29,"WV",39.106944,38.879722,-79.500278,-79.788333,766
30,"WV",39.106944,38.879722,-79.500278,-79.788333,794
