"state","population","cluster","id","year","year_t1","persistence_t0","persistence_t1","size_t0","size_t1","logsize_t0","logsize_t1","logsize_t0_2","logsize_t0_3","survives","recruit","consecutive","reliable_survival"
"IN",1,NA,1,2003,2004,NA,"NP",NA,114.1,NA,4.73707525686803,NA,NA,1,NA,TRUE,TRUE
"IN",1,15,1,2004,2005,"NP","MIA S",114.1,114.1,4.73707525686803,4.73707525686803,22.4398819892313,106.299409738226,1,0,TRUE,TRUE
"IN",1,15,1,2005,2006,"MIA S","MIA S",114.1,114.1,4.73707525686803,4.73707525686803,22.4398819892313,106.299409738226,1,0,TRUE,TRUE
"IN",1,15,1,2006,2007,"MIA S","MIA F",114.1,159.4,4.73707525686803,5.07141676635611,22.4398819892313,106.299409738226,1,0,TRUE,TRUE
"IN",1,15,1,2007,2008,"MIA F","Y",159.4,97.3,5.07141676635611,4.57779898919196,25.7192680180779,130.433127045287,1,0,TRUE,TRUE
"IN",1,15,1,2008,2009,"Y","MIA F",97.3,244.5,4.57779898919196,5.49921530891493,20.9562435854469,95.9334707027194,1,0,TRUE,TRUE
"IN",1,15,1,2009,2010,"MIA F","Y",244.5,107.1,5.49921530891493,4.6737629774537,30.2413690138043,166.303799443258,1,0,TRUE,TRUE
"IN",1,15,1,2010,2011,"Y","MIA S",107.1,107.1,4.6737629774537,4.6737629774537,21.8440603694169,102.093960631844,1,0,TRUE,TRUE
"IN",1,15,1,2011,2012,"MIA S","MIA F",107.1,72.2,4.6737629774537,4.27944004589878,21.8440603694169,102.093960631844,1,0,TRUE,TRUE
"IN",1,15,1,2012,2013,"MIA F","Y",72.2,85.5,4.27944004589878,4.44851637594271,18.3136071064422,78.3719836361651,1,0,TRUE,TRUE
"IN",1,15,1,2013,2014,"Y","Y",85.5,137.7,4.44851637594271,4.92507740573461,19.7892979470305,88.0330159857748,1,0,TRUE,TRUE
"IN",1,15,1,2014,2015,"Y","Y",137.7,168.6,4.92507740573461,5.12752904556775,24.2563874524776,119.464585786942,1,0,TRUE,FALSE
"IN",1,15,1,2015,2016,"Y","Y",168.6,136.5,5.12752904556775,4.91632461462501,26.291554113141,134.810707368247,1,0,TRUE,FALSE
"IN",1,15,1,2016,NA,"Y",NA,136.5,NA,4.91632461462501,NA,24.1702477163678,118.828783789563,NA,0,NA,NA
"IN",1,NA,2,2003,2004,NA,"NP",NA,48.8,NA,3.8877303128591,NA,NA,1,NA,TRUE,TRUE
"IN",1,15,2,2004,2005,"NP","DEAD",48.8,NA,3.8877303128591,NA,15.1144469855235,58.7608937077217,0,0,TRUE,TRUE
"IN",1,NA,2,2005,2006,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2006,2007,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2007,2008,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2008,2009,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2009,2010,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2010,2011,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2011,2012,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2012,2013,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2013,2014,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,2,2014,2015,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE
"IN",1,NA,2,2015,2016,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE
"IN",1,NA,2,2016,NA,"DEAD",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"IN",1,NA,3,2003,2004,NA,"NP",NA,100,NA,4.60517018598809,NA,NA,1,NA,TRUE,TRUE
"IN",1,15,3,2004,2005,"NP","DEAD",100,NA,4.60517018598809,NA,21.2075924419136,97.6645724300869,0,0,TRUE,TRUE
"IN",1,NA,3,2005,2006,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,3,2006,2007,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,3,2007,2008,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,3,2008,2009,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,3,2009,2010,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
"IN",1,NA,3,2010,2011,"DEAD","DEAD",NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE
